,snr,fisher,mutual_info,weight_norm
ch0,4.5770566940307615,8.10527461707641e-05,0.0018349238180699206,0.5369385480880737
ch1,4.99853105545044,6.492492822445546e-05,0.0016801440018931859,0.9313444495201111
ch2,4.950796365737915,8.823211170255776e-05,0.0021847174264716628,0.9417239427566528
ch3,4.955198955535889,1.36468423847013e-05,0.0033496701851155205,1.0
ch4,3.6412598133087157,6.192147575943102e-05,0.004153716876385225,0.7967309355735779
ch5,5.613750314712524,3.078156045230823e-05,0.0070008519908823195,0.8007305264472961
ch6,5.239760017395019,0.0001066222297580209,0.009841301326849147,0.8086374402046204
ch7,4.252149677276611,9.255746356831362e-05,0.010701162635018087,0.8617470264434814
ch8,3.5419517993927,6.090337188844143e-05,0.006543055565299757,0.7612173557281494
ch9,3.1591198205947877,2.824223706891565e-05,0.0048529041963469854,0.5764263272285461
ch10,3.0715728282928465,3.579965554229518e-05,0.003842910841910228,0.4962412714958191
ch11,3.3926095485687258,6.44131958223311e-05,0.002828612157391999,0.3929893970489502
ch12,4.031579637527466,0.00014503675392404589,0.002253157463289676,0.38889023661613464
ch13,4.227768230438232,0.0001299903508750074,0.0022974972350316893,0.33973315358161926
ch14,3.7980185985565185,8.135281067959377e-05,0.001911870983757252,0.4271087646484375
ch15,3.498099422454834,6.696460738263172e-05,0.0025098598782681636,0.38845551013946533
